Index,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Rented Bike Count,Autumn,Spring,Summer,Winter,Holiday,No Holiday,Func _No,Func _Yes
48,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,342,0,0,0,1,0,1,0,1
49,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,227,0,0,0,1,0,1,0,1
50,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,228,0,0,0,1,0,1,0,1
51,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,117,0,0,0,1,0,1,0,1
52,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,76,0,0,0,1,0,1,0,1
53,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,32,0,0,0,1,0,1,0,1
54,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,13,0,0,0,1,0,1,0,1
55,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,22,0,0,0,1,0,1,0,1
56,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,85,0,0,0,1,0,1,0,1
57,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,152,0,0,0,1,0,1,0,1
58,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,200,0,0,0,1,0,1,0,1
59,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,273,0,0,0,1,0,1,0,1
60,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,333,0,0,0,1,0,1,0,1
61,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,495,0,0,0,1,0,1,0,1
62,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,563,0,0,0,1,0,1,0,1
63,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,621,0,0,0,1,0,1,0,1
64,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,598,0,0,0,1,0,1,0,1
65,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,545,0,0,0,1,0,1,0,1
66,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,443,0,0,0,1,0,1,0,1
67,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,422,0,0,0,1,0,1,0,1
68,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,397,0,0,0,1,0,1,0,1
69,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,385,0,0,0,1,0,1,0,1
70,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,350,0,0,0,1,0,1,0,1
71,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,303,0,0,0,1,0,1,0,1
72,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,285,0,0,0,1,0,1,0,1
73,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,186,0,0,0,1,0,1,0,1
74,2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,112,0,0,0,1,0,1,0,1
75,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,65,0,0,0,1,0,1,0,1
76,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,41,0,0,0,1,0,1,0,1
77,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,82,0,0,0,1,0,1,0,1
78,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,200,0,0,0,1,0,1,0,1
79,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,498,0,0,0,1,0,1,0,1
80,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,937,0,0,0,1,0,1,0,1
81,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,509,0,0,0,1,0,1,0,1
82,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,311,0,0,0,1,0,1,0,1
83,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,379,0,0,0,1,0,1,0,1
84,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,393,0,0,0,1,0,1,0,1
86,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,338,0,0,0,1,0,1,0,1
88,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,375,0,0,0,1,0,1,0,1
90,18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,807,0,0,0,1,0,1,0,1
91,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,568,0,0,0,1,0,1,0,1
92,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,398,0,0,0,1,0,1,0,1
93,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,397,0,0,0,1,0,1,0,1
94,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,353,0,0,0,1,0,1,0,1
95,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,248,0,0,0,1,0,1,0,1
96,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,216,0,0,0,1,0,1,0,1
97,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,198,0,0,0,1,0,1,0,1
98,2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,124,0,0,0,1,0,1,0,1
99,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,62,0,0,0,1,0,1,0,1
100,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,42,0,0,0,1,0,1,0,1
101,5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,82,0,0,0,1,0,1,0,1
102,6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,172,0,0,0,1,0,1,0,1
103,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,381,0,0,0,1,0,1,0,1
104,8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,812,0,0,0,1,0,1,0,1
105,9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,462,0,0,0,1,0,1,0,1
106,10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,269,0,0,0,1,0,1,0,1
107,11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,334,0,0,0,1,0,1,0,1
108,12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,321,0,0,0,1,0,1,0,1
109,13,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,325,0,0,0,1,0,1,0,1
110,14,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,334,0,0,0,1,0,1,0,1
111,15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,353,0,0,0,1,0,1,0,1
112,16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,435,0,0,0,1,0,1,0,1
113,17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,529,0,0,0,1,0,1,0,1
114,18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,789,0,0,0,1,0,1,0,1
115,19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,597,0,0,0,1,0,1,0,1
116,20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,418,0,0,0,1,0,1,0,1
117,21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,415,0,0,0,1,0,1,0,1
118,22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,393,0,0,0,1,0,1,0,1
119,23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,244,0,0,0,1,0,1,0,1
120,0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,145,0,0,0,1,0,1,0,1
121,1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,144,0,0,0,1,0,1,0,1
122,2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,117,0,0,0,1,0,1,0,1
123,3,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,78,0,0,0,1,0,1,0,1
124,4,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,58,0,0,0,1,0,1,0,1
125,5,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,87,0,0,0,1,0,1,0,1
126,6,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,142,0,0,0,1,0,1,0,1
127,7,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,379,0,0,0,1,0,1,0,1
128,8,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,802,0,0,0,1,0,1,0,1
129,9,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,440,0,0,0,1,0,1,0,1
130,10,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,307,0,0,0,1,0,1,0,1
131,11,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,381,0,0,0,1,0,1,0,1
132,12,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,405,0,0,0,1,0,1,0,1
133,13,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,442,0,0,0,1,0,1,0,1
134,14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,416,0,0,0,1,0,1,0,1
135,15,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,412,0,0,0,1,0,1,0,1
136,16,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,496,0,0,0,1,0,1,0,1
137,17,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,239,0,0,0,1,0,1,0,1
138,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,204,0,0,0,1,0,1,0,1
139,19,1.2,92,0.7,180,0.0,0.0,0.0,1.0,205,0,0,0,1,0,1,0,1
140,20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,190,0,0,0,1,0,1,0,1
141,21,1.1,92,0.5,235,0.0,0.0,0.7,1.0,165,0,0,0,1,0,1,0,1
142,22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,222,0,0,0,1,0,1,0,1
143,23,1.3,92,0.6,209,0.1,0.0,0.0,1.0,193,0,0,0,1,0,1,0,1
144,0,1.4,92,0.5,240,0.2,0.0,0.0,0.9,198,0,0,0,1,0,1,0,1
145,1,1.5,92,0.4,227,0.3,0.0,0.0,0.9,218,0,0,0,1,0,1,0,1
146,2,1.4,92,0.7,168,0.2,0.0,0.0,0.9,149,0,0,0,1,0,1,0,1
147,3,1.9,91,1.4,218,0.5,0.0,0.0,0.9,102,0,0,0,1,0,1,0,1
148,4,1.6,92,0.7,119,0.4,0.0,0.0,0.9,62,0,0,0,1,0,1,0,1
149,5,1.5,92,1.1,175,0.3,0.0,0.0,0.9,83,0,0,0,1,0,1,0,1
150,6,1.0,93,0.5,148,0.0,0.0,0.0,0.9,137,0,0,0,1,0,1,0,1
151,7,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,367,0,0,0,1,0,1,0,1
152,8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,754,0,0,0,1,0,1,0,1
153,9,0.1,91,0.8,265,-1.1,0.14,0.0,0.8,415,0,0,0,1,0,1,0,1
154,10,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,321,0,0,0,1,0,1,0,1
155,11,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,333,0,0,0,1,0,1,0,1
156,12,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,431,0,0,0,1,0,1,0,1
157,13,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,394,0,0,0,1,0,1,0,1
158,14,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,390,0,0,0,1,0,1,0,1
159,15,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,430,0,0,0,1,0,1,0,1
160,16,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,471,0,0,0,1,0,1,0,1
161,17,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,552,0,0,0,1,0,1,0,1
162,18,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,795,0,0,0,1,0,1,0,1
163,19,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,507,0,0,0,1,0,1,0,1
164,20,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,390,0,0,0,1,0,1,0,1
165,21,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,402,0,0,0,1,0,1,0,1
166,22,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,389,0,0,0,1,0,1,0,1
167,23,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,259,0,0,0,1,0,1,0,1
168,0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,233,0,0,0,1,0,1,0,1
169,1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,230,0,0,0,1,0,1,0,1
170,2,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,131,0,0,0,1,0,1,0,1
171,3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,99,0,0,0,1,0,1,0,1
172,4,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,71,0,0,0,1,0,1,0,1
173,5,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,84,0,0,0,1,0,1,0,1
174,6,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,158,0,0,0,1,0,1,0,1
175,7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,387,0,0,0,1,0,1,0,1
176,8,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,780,0,0,0,1,0,1,0,1
177,9,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,395,0,0,0,1,0,1,0,1
178,10,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,261,0,0,0,1,0,1,0,1
179,11,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,310,0,0,0,1,0,1,0,1
180,12,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,355,0,0,0,1,0,1,0,1
181,13,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,354,0,0,0,1,0,1,0,1
182,14,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,350,0,0,0,1,0,1,0,1
183,15,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,362,0,0,0,1,0,1,0,1
184,16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,401,0,0,0,1,0,1,0,1
185,17,-2.4,30,2.7,2000,-17.6,0.18,0.0,0.0,500,0,0,0,1,0,1,0,1
186,18,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,752,0,0,0,1,0,1,0,1
187,19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,477,0,0,0,1,0,1,0,1
188,20,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,384,0,0,0,1,0,1,0,1
189,21,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,336,0,0,0,1,0,1,0,1
190,22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,347,0,0,0,1,0,1,0,1
191,23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,275,0,0,0,1,0,1,0,1
192,0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,267,0,0,0,1,0,1,0,1
193,1,-4.1,49,0.6,2000,-13.2,0.0,0.0,0.0,296,0,0,0,1,0,1,0,1
194,2,-4.7,50,0.7,1983,-13.5,0.0,0.0,0.0,237,0,0,0,1,0,1,0,1
195,3,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,169,0,0,0,1,0,1,0,1
196,4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,96,0,0,0,1,0,1,0,1
197,5,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,56,0,0,0,1,0,1,0,1
198,6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,76,0,0,0,1,0,1,0,1
199,7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,127,0,0,0,1,0,1,0,1
200,8,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,222,0,0,0,1,0,1,0,1
201,9,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,291,0,0,0,1,0,1,0,1
202,10,-2.2,42,1.3,1646,-13.4,0.61,0.0,0.0,273,0,0,0,1,0,1,0,1
203,11,0.0,45,1.1,1500,-10.5,0.89,0.0,0.0,351,0,0,0,1,0,1,0,1
204,12,2.4,40,0.8,1809,-9.8,1.05,0.0,0.0,427,0,0,0,1,0,1,0,1
205,13,3.9,36,2.0,1702,-9.8,1.13,0.0,0.0,431,0,0,0,1,0,1,0,1
206,14,4.7,32,2.2,1948,-10.6,1.06,0.0,0.0,486,0,0,0,1,0,1,0,1
207,15,5.2,30,2.0,1963,-11.0,0.84,0.0,0.0,569,0,0,0,1,0,1,0,1
208,16,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,546,0,0,0,1,0,1,0,1
209,17,3.5,37,1.8,1963,-9.8,0.1,0.0,0.0,481,0,0,0,1,0,1,0,1
210,18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,384,0,0,0,1,0,1,0,1
211,19,1.5,48,0.4,1878,-8.3,0.0,0.0,0.0,275,0,0,0,1,0,1,0,1
212,20,0.8,51,1.4,1848,-8.2,0.0,0.0,0.0,298,0,0,0,1,0,1,0,1
213,21,-0.1,55,0.7,1654,-8.0,0.0,0.0,0.0,321,0,0,0,1,0,1,0,1
214,22,-0.5,55,0.6,1655,-8.4,0.0,0.0,0.0,289,0,0,0,1,0,1,0,1
215,23,-0.1,54,1.3,1570,-8.3,0.0,0.0,0.0,265,0,0,0,1,0,1,0,1
216,0,-0.2,55,1.0,1629,-8.1,0.0,0.0,0.0,326,0,0,0,1,0,1,0,1
217,1,-0.2,54,0.5,1747,-8.4,0.0,0.0,0.0,280,0,0,0,1,0,1,0,1
218,2,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,243,0,0,0,1,0,1,0,1
219,3,0.3,53,0.5,1748,-8.1,0.0,0.0,0.0,169,0,0,0,1,0,1,0,1
220,4,0.4,52,1.6,1816,-8.3,0.0,0.0,0.0,71,0,0,0,1,0,1,0,1
221,5,0.3,74,1.0,178,-3.7,0.0,0.0,0.7,13,0,0,0,1,0,1,0,1
231,15,6.7,63,4.5,715,0.1,0.35,0.0,1.0,180,0,0,0,1,0,1,0,1
232,16,5.4,71,3.5,622,0.5,0.2,0.0,0.5,214,0,0,0,1,0,1,0,1
233,17,3.6,65,4.3,1061,-2.3,0.03,0.0,0.4,226,0,0,0,1,0,1,0,1
234,18,2.0,61,3.0,2000,-4.7,0.0,0.0,0.0,210,0,0,0,1,0,1,0,1
235,19,1.6,53,4.0,2000,-6.9,0.0,0.0,0.0,181,0,0,0,1,0,1,0,1
236,20,0.6,57,3.9,1954,-6.9,0.0,0.0,0.0,165,0,0,0,1,0,1,0,1
237,21,0.0,59,3.0,1862,-7.0,0.0,0.0,0.0,167,0,0,0,1,0,1,0,1
238,22,-1.0,56,4.7,2000,-8.6,0.0,0.0,0.0,152,0,0,0,1,0,1,0,1
239,23,-1.4,43,4.3,2000,-12.3,0.0,0.0,0.0,148,0,0,0,1,0,1,0,1
240,0,-2.5,39,3.4,2000,-14.5,0.0,0.0,0.0,125,0,0,0,1,0,1,0,1
241,1,-3.4,36,3.8,2000,-16.3,0.0,0.0,0.0,111,0,0,0,1,0,1,0,1
242,2,-4.2,35,3.4,2000,-17.4,0.0,0.0,0.0,67,0,0,0,1,0,1,0,1
243,3,-4.7,38,2.4,2000,-16.8,0.0,0.0,0.0,45,0,0,0,1,0,1,0,1
244,4,-5.2,35,3.2,2000,-18.3,0.0,0.0,0.0,44,0,0,0,1,0,1,0,1
245,5,-5.6,38,3.2,1974,-17.6,0.0,0.0,0.0,86,0,0,0,1,0,1,0,1
246,6,-5.9,39,2.9,1979,-17.6,0.0,0.0,0.0,136,0,0,0,1,0,1,0,1
247,7,-6.0,39,3.1,1996,-17.7,0.0,0.0,0.0,325,0,0,0,1,0,1,0,1
248,8,-6.0,38,3.6,1994,-18.0,0.01,0.0,0.0,653,0,0,0,1,0,1,0,1
250,10,-5.3,32,4.5,2000,-19.4,0.62,0.0,0.0,212,0,0,0,1,0,1,0,1
251,11,-4.7,36,3.8,2000,-17.5,1.0,0.0,0.0,226,0,0,0,1,0,1,0,1
252,12,-5.2,33,4.6,1973,-19.0,1.26,0.0,0.0,247,0,0,0,1,0,1,0,1
254,14,-5.4,31,4.1,1945,-19.9,1.13,0.0,0.0,253,0,0,0,1,0,1,0,1
255,15,-5.5,33,4.5,2000,-19.2,0.92,0.0,0.0,269,0,0,0,1,0,1,0,1
256,16,-6.0,40,4.0,2000,-17.4,0.55,0.0,0.0,277,0,0,0,1,0,1,0,1
257,17,-7.1,44,4.2,2000,-17.3,0.18,0.0,0.0,361,0,0,0,1,0,1,0,1
258,18,-7.9,43,3.3,2000,-18.3,0.0,0.0,0.0,557,0,0,0,1,0,1,0,1
259,19,-8.6,45,3.9,2000,-18.4,0.0,0.0,0.0,371,0,0,0,1,0,1,0,1
260,20,-9.3,49,3.8,2000,-18.0,0.0,0.0,0.0,254,0,0,0,1,0,1,0,1
261,21,-9.7,51,2.5,2000,-17.9,0.0,0.0,0.0,266,0,0,0,1,0,1,0,1
262,22,-10.2,50,3.0,2000,-18.6,0.0,0.0,0.0,222,0,0,0,1,0,1,0,1
263,23,-10.7,53,1.2,2000,-18.4,0.0,0.0,0.0,174,0,0,0,1,0,1,0,1
264,0,-11.0,51,1.1,2000,-19.1,0.0,0.0,0.0,133,0,0,0,1,0,1,0,1
265,1,-11.2,51,1.1,2000,-19.3,0.0,0.0,0.0,127,0,0,0,1,0,1,0,1
266,2,-11.5,50,0.7,2000,-19.8,0.0,0.0,0.0,95,0,0,0,1,0,1,0,1
267,3,-11.6,50,2.2,1995,-19.9,0.0,0.0,0.0,54,0,0,0,1,0,1,0,1
268,4,-11.6,47,2.1,1982,-20.6,0.0,0.0,0.0,46,0,0,0,1,0,1,0,1
269,5,-11.6,45,2.8,1951,-21.1,0.0,0.0,0.0,65,0,0,0,1,0,1,0,1
270,6,-11.8,47,2.5,1973,-20.8,0.0,0.0,0.0,104,0,0,0,1,0,1,0,1
271,7,-12.1,50,2.3,1929,-20.4,0.0,0.0,0.0,280,0,0,0,1,0,1,0,1
272,8,-12.3,52,1.3,1914,-20.1,0.0,0.0,0.0,580,0,0,0,1,0,1,0,1
273,9,-11.8,46,2.9,1956,-21.1,0.1,0.0,0.0,275,0,0,0,1,0,1,0,1
274,10,-10.5,45,3.3,1855,-20.1,0.6,0.0,0.0,184,0,0,0,1,0,1,0,1
275,11,-9.4,42,3.1,1815,-19.9,0.93,0.0,0.0,201,0,0,0,1,0,1,0,1
